title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
Einstein's Universe,The Layperon's Guide,Nigel Calder,,Penguin,0,Science,"Physics, Relativity, Albert Einstein, ",191,1979,2005,0,0,0,0,
Elements of Mind,An introduction to the philosophy of mind,Tim Crane,,Oxford,0,Philosophy,"Philosophy of mind, Intentionality, Mental content, Physicalism, Perception, Zombies",181,2001,2015,2,0,0,0,
Epistemology,,Richard Fumerton,,Blackwell,0,Philosophy,"Knowledge, epistemology",145,2006,,0,0,0,0,
Erasure,A Novel,Percival Everett,,Graywolf,1,Literature,"Race, Family, Literature, Satire",265,2001,,2,0,1,0,
Escape from Freedom,,Erich Fromm,,Holt,0,Philosophy,"Existentialism, Freud, Totalitarianism, Nietzsche, Freedom, Individualism",301,1941,1994,2,0,1,0,
Ethical Intuitionism,,Michael Huemer,,Palgrave Macmillan,0,Philosophy,"Moral intuitionism, Moral Theory, Metaethics",309,2005,2015,0,0,0,0,
Ethics and Public Policy,A Philosophical Inquiry,Jonathan Wolff,,Routledge,0,Philosophy,"Social and political philosophy, ethics, public policy",230,2011,,2,0,0,0,
Evidence and Inquiry,A Pragmatist Reconstruction of Epistemology,Susan Haack,,Prometheus,0,Philosophy,"Epistemology, Pragmatism, Foundherentism",425,1993,2009,2,0,0,0,
Exploring the World of Lucid Dreaming,,Stephen LaBerge,Howard Rheinhold,Random House,0,Psychology,"Lucid Dreaming, Dreams",335,1990,1991,2,0,0,0,
Fairy Tales from the Brothers Grimm,A new English version,Philip Pullman,,Penguin,1,Fairy Tales,"Fairy Tales, Brothers Grimm, Folklore",420,2012,2013,2,0,0,0,
Farther Away,Essays,Jonathan Franzen,,Picador,0,Essays,,321,2012,2013,1,0,0,0,Includes 'Pain Won't Kill You' commencement address to Kenyon College
Fifty Inventions that Shaped the Modern Economy,,Tim Harford,,Riverhead,0,History/Economics,"Economic history, Inventions, Innovation",321,2017,2018,2,0,0,0,
Figure Drawing,A complete guide to drawing the human body,Jake Spicer,,Hachette,0,Art Instruction,"Drawing, Figure drawing, Drawing technique",286,2021,,1,0,0,0,Very cool Swiss binding
Figure Drawing for All it's Worth,A book of fundamentals for an artistic career,Andrew Loomis,,TItan,0,Art Instruction,Drawing,204,1943,,0,0,0,0,Stored in slipcase
Flatland,A Romance of Many Dimensions,Edwin A. Abbott,,Dover,1,Science Fiction,"Geometry, Mathematics, Romance, Victorian England",83,1884,2014,0,0,0,0,
Florida,,Lauren groff,,Riverhead,0,Short Stories,"Depressing, Florida, Surrealism",275,2018,,1,2,0,1,
Forming Impressions,Expertise in perception and Intuition,Elijah Chudnoff,,Oxford,0,Philosophy,"Epistemology, Rationalism, Intuition, Philosophical methodology, Perceptual expertise",229,2021,,0,0,0,1,Signed by Eli
Frankenstein,"Or, The Modern Prometheus",Mary Wollstonecraft Shelley,"Bernie Wrightson, Stephen Key",Simon & Schuster,1,Horror/Science Fiction,"Illustrations, Classic",244,1818,2021,1,0,0,0,Beautiful illustrations by Bernie Wrightson
Freedom,,Jonathan Franzen,,Fourth Estate,1,Literature,,706,2010,2011,2,0,0,0,Found at The Arcadian Hotel in Boston the weekend of the Charles River cruise. Maybe the best novel I've ever read.
Fundamentals,Ten Keys to reality,Frank Wilczek,,Penguin,0,Science,"Physics, Fundamental physics, Quantum mechanics, Particle physics, Relativity",254,2021,,2,0,0,1,
Galileo's Middle Finger,,Alice Dreger,,Penguin,0,Science/Memoir/History,"Intellectual freedom, Free thought, Intersex, History of science",337,2015,,2,0,0,1,Signed by the author at UM
Gender Queer,A Memoir,Maia Kobabe,,Oni,0,Graphic Novel/Comic/Memoir,"Gender, LGBTQ, Queer, Gender identity, Memoir",239,2020,2022,2,0,0,0,
Go To Sleep (I Miss You),Cartoons from the Fog of New Parenthood,Lucy Knisely,,First Second,0,Graphic Novel/Comic,"Parenthood, Baby, Newborn, Cartoons",178,2020,,1,0,0,1,
God's Country,,Percival Everett,Madison Smartt Bell,Beacon,1,Western,"Western, Satire",219,1994,2024,2,0,0,0,
Grokking Algorithms,An illustrated guide for programmers and other curious people,Aditya Y. Bhargava,,Manning,0,Computing & Programming,"Programming, Algorithms, Illustrated",238,2016,,1,0,0,0,
Havana Nocturne,How the Mob Owned Cuba… and Then Lost It to the Revolution,T. J. English,,Harper Collins,0,True Crime,"Mob, Mafia, Havana, Cuban history, Meyer Lansky",396,2007,2008,2,0,0,0,
Hellboy: Seed of Destruction,Omnibus Volume 1,Mike Mignola,John Bryne,Dark Horse,1,Graphic Novel/Comic,"Horror, Gothic horror, Fantasy, Mythology",366,1993,2018,2,0,0,0,
Hellboy: Strange Places,Omnibus Volume 2,Mike Mignola,"Gary Gianni, Richard Corben",Dark Horse,1,Graphic Novel/Comic,"Horror, Gothic horror, Fantasy, Mythology",414,1993,2018,2,0,0,0,
Hellboy: The Complete Short Stories Volume 1,,Mike Mignola,,Dark Horse,1,Graphic Novel/Comic,"Horror, Gothic horror, Fantasy, Mythology",366,1993,2018,2,0,0,0,
Hellboy: The Complete Short Stories Volume 2,,Mike Mignola,"Scott Hampton, P.Craig Russell, Richard Corben, Kevin Nowlan, Joshua Dysart, Jason Shawn Alexander",Dark Horse,1,Graphic Novel/Comic,"Horror, Gothic horror, Fantasy, Mythology",366,1993,2018,1,0,0,0,
Hellboy: The Wild Hunt,Omnibus Volume 3,Mike mignola,Duncan Fegredo,Dark Horse,1,Graphic Novel/Comic,"Horror, Gothic horror, Fantasy, Mythology",526,1993,2018,2,0,0,0,
How Data Happened,A History from the Age of Reason to the Age of Information,Chris Wiggins,Matthew L. Jones,Norton,0,Science/Social Science,"Data, History of technology",367,2023,2024,0,0,0,0,
How We Think,,John Dewey,,Prometheus,0,Philosophy,"Cognition, Inference, Education",224,1910,1991,1,0,0,0,
Humanly Possible,"Seven Hundred Years of Humanist Freethinking, Inquiry, and Hope",Sarah Bakewell,,Penguin,0,Philosophy,"Humanism, History, The humanities, ethics",454,2023,,1,0,0,1,
I Want You to Be,On the God of Love,Tomas Halik,Gerald Turner,Notre Dame,0,Theology,"Christianity, Love",189,2016,,0,0,0,1,Signed by the author
Individuals,An Essay in Descriptive Metaphysics,P. F. Strawson,,Methuen,0,Philosophy,Metaphysics,255,1959,1984,0,0,0,0,
Infinite Jest,,David Foster Wallace,Tom Bissell,Back Bay,1,Literature,,1079,1996,2016,1,0,0,0,20th Anniversary Edition
Into Thin Air,A personal account of the Mt. Everest Disaster,Jon Krakauer,,Villard,0,Nature/Memoir,"Mt. Everest, Mountaineering, Disaster",291,1997,,2,0,0,1,Pop's copy
Intuition,,Elijah Chudnoff,,Oxford,0,Philosophy,"Intuition,Dogmatism, Presentational phenomenology, Philosophical methodology",245,2013,,2,0,0,1,
Iphigenia in Aulis,,Euripides,"Edward Einhorn, Eric Shanower",Image,1,Mythology,"Greek Mythology, The Iliad, Age of Bronze",131,2022,,0,0,0,0,
It's Even Worse Than It Looks,How the American Constitutional System Collided with the Enw Politics of Extremism,Thomas E. Mann,Norman J. Ornstein,Basic,0,Social Science,"American Politics, Corruption, Dysfunction, Partisanship, Right-wing politics",247,2012,2016,0,0,0,0,
John Muir Trail,The essential guide to hiking America's most famous trail,Elizabeth Wenk,,Wilderness,0,Wilderness Guide,"Camping, Nature, Backpacking, John Muir Trail, PCT",281,1978,2014,0,0,0,0,From Ted's PCT collection
Journey to Orsay,,Dominique Brisson,"Marina Bocquillon-Ferretti, Valerie Mettais, Laure Murat",Reunion des Musees Nationaux,0,Art,"Paris, d'Orsay, Musee d'Orsay, Modern art, French history",144,1992,1995,1,0,0,0,
Joy of Backpacking,Your complete guide to attaining pure happiness in the outdoors,Brian Beffort,,Wilderness,0,Wilderness Guide,"Camping, Nature, Backpacking",268,2007,,0,0,0,0,From Ted's PCT collection
Just and Unjust Wars,A Moral Argumetn with Historical Illustrations,Michael Walzer,,Basic,0,Philosophy,"War, Ethics, Military history",361,1977,2006,0,0,0,0,
Justice,What's The Right Thing To Do?,Michael J. Sandel,,"Farrar, Straus, & Giroux",0,Philosophy,"Ethics, Justice, Moral theory",308,2009,2010,1,0,0,0,
Lady Chatterley's Lover,,D. H. Lawrence,"Kathryn Harrison, Keuth Cushman",Modern Library,1,Literature,,362,1928,2001,1,0,0,0,
Liberation Day,Stories,George Saunders,,Random House,1,Short Stories,Short stories,233,2022,,2,1,0,1,
Life Against Death,The Psychoanalytical Meaning of History,Norman O. Brown,Christopher Lasch,Wesleyan,0,Psychoanalysis/Philosophy/History,"Freud, Psychoanalysis, Death instinct, Neurosis, Philosophy of history",366,1959,1989,2,0,1,0,
Living with Guns,A Liberal's Case for the Second Amendment,Craig R. Whitney,,Public Affairs,0,Social Science,"Guns, Law, Gun violence, Crime",284,2012,,0,0,0,1,
Locke on Human Understanding,,E. J. Lowe,,Routledge,0,Philosophy,"John Locke, Empiricism",203,1995,,1,0,0,0,
Locking Up Our Own,Crime and Punishment in Black America,James Foreman Jr.,,"Farrar, Straus, & Giroux",0,Social Science,"Criminal justice, Police, Race, Social justice, Black life in America",306,2017,2018,0,0,0,0,
Logic for Philosophy,,Theodore Sider,,Oxford,0,Philosophy,"Logic, Formal logic",289,2010,,1,0,0,0,
Lost in Thought,The Hidden Pleasures of an Intellectual Life,Zena Hitz,,Princeton,0,Philosophy,"Intellectuals, Happiness",240,2020,2021,1,0,0,0,
Mage: The Ascension,,Phil Brucato,Stewart Wieck,White Wolf,1,Roleplaying Games,"World of Darkness, RPG",309,2000,,1,0,0,1,
Magic tricks,"A Step-by-Astep Guide to Illusions, Sleight of Hand, and Amazing Feats",Richard Laufman,Elizabeth Kaufman,Knack,0,Magic,"Magic tricks, Stage magic, Card tricks",244,2010,,1,0,0,0,
Man's Seach for Meaning,,Viktor E. Frankl,"Harold S. Kushner, Ilse Lasch, William J. Winslade",Beacon,0,Philosophy/Memoir,"Existentialism, Logo-therapy, Holocaust",165,1959,2006,2,0,1,0,
Market Day,,James Sturm,,Drawn and Quarterly,1,Graphic Novel/Comic,"Craftsman, Industrial revolution, Eastern Europe, Rugs",96,2010,,2,0,1,1,
Metaepistemology and Skepticism,,Richard Fumerton,,Rowman and Littlefield,0,Philosophy,"Knowledge, epistemology, metaepistemology, skepticism, Epistemic internalism, Epistemic externalism",234,1995,,0,0,0,0,
Metaphysics,An Introduction,Alyssa Ney,,Routledge,0,Philosophy,"Metaphysics, Ontology, Ordinary objects, Time, Ship of Theseus, Modality, Causation, Free Will",310,2014,,2,0,0,0,
Mindset,How We Can Learn To Fulfill Our Potential,Carol S. Dweck,,Ballantine,0,Science,"Psychology, Pedagogy",301,2006,2016,2,0,0,0,
Multiforce,,Mat Brinkman,,Hollow,1,Graphic Novel/Comic,"Surreal, Skeleton Jelly, Collectible, Fantasy",37,2018,,2,0,0,1,
Murach's MySQL,,Joel Murach,,Murach,0,Computing & Programming,"Textbook, SQL",590,2015,,1,0,0,0,
Mythologies,,Roland Barthes,Annette lavers,Hill and Wang,0,Philosophy,"Semiotics, Mythology, Cultural Studies",159,1957,1972,1,0,0,0,
Naming and Necessity,,Saul A. Kripke,,Harvard,0,Philosophy,"Analytic philosophy, Names, Philosophy of language, Rigid designation",172,1972,1999,2,0,0,0,
Naturalism Without Mirrors,,Huw Price,,Oxford,0,Philosophy,"Metametaphysics, Naturalism, Pragmatism",336,2011,,0,0,0,1,
Nothing is True and Everything is Possible,The Surreal heart of the New Russia,Peter Pomerantsev,,Public Affairs,1,Journalism,"Russia, Kremlin, Dystopia, Memoir",243,2014,2020,2,0,0,0,
N-Space,,Larry Niven,Tom Clancy,Tor,1,Science Fiction,Short stories,693,1990,1991,1,0,0,0,Includes 'Inconstant Moon'
On Photography,,Susan Sontag,,Delta,0,Art,"Art criticism, photography",207,1973,1979,0,0,0,0,
On the Problem of Empathy,,Edith Stein,Waltraut Stein,Institute of Carmelite Studies,0,Philosophy,"Phenomenology, Empathy",135,1917,1989,1,0,0,0,This was the book the Kendall reading group was reading when Covid interrupted our semester.
Ontology Made Easy,,Amie L. Thomasson,,Oxford,0,Philosophy,"Ontology, Metaontology, Carnap, Deflationism",345,2015,,0,0,0,1,Loaned to a student and she actually returned it!
Open Borders,The Science and Ethics of Immigration,Bryan Caplan,Zach Weinersmith,First Second,0,Social Science,"Immigration, Comic, Economics, Ethics, Border policy",248,2019,,2,0,0,0,
Ordinary Objects,,Amie L. Thomasson,,Oxford,0,Philosophy,"Metaphysics, Analyticity, Ordinary Objects, Deflationism, Ontology, Metaontology",240,2007,,2,0,0,0,
Other Minds,"The Octopus, The Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith,,"Farrar, Straus, & Giroux",0,Philosophy/Science,"Philosophy of Mind, Consciousness, Octopuses",255,2016,2017,0,0,0,0,
Parasyte 1,,Hitoshi Iwaaki,,Kodansha Comics,1,Comic/Horror,"Body horror, parasite",277,2003,2013,2,0,0,0,
Parasyte 2,,Hitoshi Iwaaki,,Kodansha Comics,1,Comic/Horror,"Body horror, parasite",278,2003,2013,2,0,0,0,
Pastel Painting Atelier,"Essential Lessons in techniques, Pracites, and Materials",Ellen Eagle,,Watson Guptill,0,Art/Art Instruction,"Pastels, Pastel painting, Pastel technique, Portraits",192,2013,,1,0,0,1,
Personal Identity,,John Perry,"David Hume, John Locke, Bernard Williams",University of California,0,Philosophy,Personal identity,346,2008,,0,0,0,0,
Philosophical Analysis in the Twentieth Century,Volume 1: The Dawn of Analysis,Scott Soames,,Princeton,0,Philosophy,"History of philosophy, Analytic philosophy",411,2003,2005,1,0,0,0,
Philosophical Devices,"Proofs, Probabilities, Possibilities, and Sets",David Papineau,,Oxford,0,Philosophy,"Proofs, Probability, Modality, Logic, Sets, Analyticity",192,2012,,2,0,0,0,
Philosophical Investigations,"The German Text, with a Revised English Translation",Ludwig Wittgenstein,G. E. M. Anscombe,Blackwell,0,Philosophy,Wittgenstein,246,1953,2001,1,0,0,1,
Philosophy,The Fundamental Problems,Joel J. Kupperman,,St. Martin's,0,Philosophy,Textbook,206,1978,,0,0,0,0,Dad's Uconn professor
Philosophy of Logic,,Susan Haack,,Cambridge,0,Philosophy,"Logic, Formal logic, Validity, Truth, Non-classical logic",276,1978,1996,1,0,0,0,
Piranesi,,Susanna Clarke,,Modern Library,1,Literature/Fantasy,Fantasy,245,2020,,2,2,1,1,
Play Optimal Poker,Practical Game Theory For Every Poker Player,Andrew Brokos,,Self,0,Card Games,"Poker, Game Theory",237,2019,,0,0,0,0,
Poems that Make Grown Men Cry,100 men on the words that move them,Anthony Holden,Ben Holden,Simon & Schuster,0,Poetry,"Poetry, Men, Celebrities, ",310,2014,2015,1,0,0,0,
Post Office,,Charles Bukowski,,Ecco,1,Literature,,208,1971,2014,0,0,0,0,
Private Citizens,A Novel,Tony Tulathimutte,,William Morrow,1,Literature,"Millenials, Oughts, Bay Area",372,2016,,0,0,0,0,
Problems of Knowledge,A critical introduction to epistemology,Michael Williams,,Oxford,0,Philosophy,"Knowledge, epistemology, Wilfrid Sellars, Groundless belief",276,2001,,0,0,0,0,
Providence,Act 1,Alan Moore,Jacen Burrows,Avatar,1,Graphic Novel/Comic,"Lovecraftian, Eldritch, Horror, Cthulhu",160,2017,,2,0,0,1,
Providence,Act 2,Alan Moore,Jacen Burrows,Avatar,1,Graphic Novel/Comic,"Lovecraftian, Eldritch, Horror, Cthulhu",176,2017,,2,0,0,1,
Providence,Act 3,Alan Moore,Jacen Burrows,Avatar,1,Graphic Novel/Comic,"Lovecraftian, Eldritch, Horror, Cthulhu",144,2017,,2,0,0,1,
Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,,No Starch,0,Computing & Programming,"Pyhton, Programming, Python Projects, Pygame",506,2015,2019,1,0,0,0,
Python Data Science Handbook,Essential Tooks for Working with Data,Jake VanderPlas,,O'Reilly,0,Computing & Programming,"Python, Data science, Pandas, Jupyter, Data analytics, Numpy, Matplotlib, Machine learning",529,2016,2017,0,0,0,0,
Rationality,,Bryan R. Wilson,,Blackwell,0,Philosophy,"Philosophy of Social Science, Sociology, Anthropology, Interpretation",275,1970,,1,0,0,0,
Rationality,"What It Is, Why It Seems Scarce, Why It Matters",Steven Pinker,,Viking,0,Philosophy,"Rationality, Reasoning, Critical thinking, Bias, Probability, Bayesianism, Decision theory",412,2021,,2,0,0,1,
Reading in the Brain,The New Science of How We Read,Stanislas Dehaene,,Penguin,0,Science,"Reading, Cognition, Neuropsychology",388,2009,2010,1,0,0,0,
Reason in the Balance,An Inquiry Approach to Critical Thinking,Sharon Bailin,Mark Battersby,Hackett,0,Philosophy,"Textbook, Critical thinking, Argumentation, Inquiry",487,2016,,0,0,0,0,Met the author at the Greensboro AAPT conference
Reassembling Model of Reality,Theory and Clinical Practice,Aldrich Chan,"Louis Cozolino, Daniel J. Siegel",Norton,0,Science,"Neuropsychology, Cognition, Therapy",351,2021,,1,0,0,0,Signed by Aldrich
Responsibility for Justice,,Iris Marion Young,,Oxford,0,Philosophy,"Responsibility, Social ethics, Ethics, Justice",193,2011,2013,0,0,0,0,
Riders in Disguise,A Novel,Patrick Anderson Jr.,,Jitney,1,Literature,"Miami, Dadeland mall, Detectives, Cocaine",289,2023,,0,0,0,0,Signed by the author
Sacrifice,,Eric Shanower,John Dallaire,Image,1,Graphic Novel/Comic,"Greek mythology, The Iliad, Trojan War, Age of Bronze",223,2004,2020,2,0,0,0,
Sapiens,A Brief History of Humankind,Yuval Noah Harari,,Harper Perennial,0,Science/Social Science/History,"Anthropology, Ideology, History, World history, Sociology",443,2015,2018,2,0,0,0,
SAS Survival Handbook,The Ultimate Guide to Surviving Anywhere,John 'Lofty' Wiseman,,Morrow,0,Wilderness Guide,"Camping, Survival, Nature",672,1986,2014,2,0,0,0,
Save the Cat! Writes a Novel,The Last Book on Novel Writing You'll ever Need,Jessica Brody,,Ten Speed,0,Reference/Grammar,"Creative Writing, Novels, Writing, Composition",313,2018,,1,0,0,0,
Selfish Reasons to Have More Kids,Whiy Being a Great Parent is Less Work and More Fun than You Think,Bryan Caplan,,Basic,0,Social Science,"Economics, Parenting, Children, Psychology",228,2011,,1,0,0,0,
Serotonin,A Novel,Michel Houellebecq,Shaun Whiteside,"Farrar, Straus, & Giroux",1,Literature,"France, Pessimism",309,2019,,2,2,0,1,
Seven Brief Lessons on Physics,,Carlo Rovelli,,Riverhead,0,Science,"Physics, Fundamental physics, Quantum mechanics, Particle physics, Probability, Time",81,2014,2016,2,0,0,1,
Seventeen Contradictions and the End of Capitalism,,David Harvey,,Oxford,0,Social Science,"Capitalism,  Political economy",338,2014,,1,0,0,0,
Six Easy Pieces,Essential sof Physics Explained by Its Most Brilliant teacher,Richard Feynman,,Basic,0,Science,Physics,146,1963,2011,1,0,0,0,
Skepticism and the Veil of Perception,,Michael Huemer,,Rowman and Littlefield,0,Philosophy,"Epistemology, Skepticism, Dogmatism, Phenomenal Conservatism, Direct realism, Perception",207,2001,2015,2,0,0,0,
Sketch Every Day,Over 200 Pages of Art and Sketching Techniques from Simone Grunwald,Simone Grunwald,,3dtotal,0,Art Instruction,"Art career, Drawing, Art technique,  Cartoon",207,2019,2022,1,0,0,0,Signed by author
Slaughterhouse-Five,Or The Children's Crusade,Kurt Vonnegut,,Dell,1,Literature,"Dresden, WWII, Satire, War, Time, Tralfamadorians",215,1966,1991,2,2,0,0,"Jordan's book, technically"
Stamped from the Beginning,The Definitive History of Racist Ideas in America,Ibram X. Kendi,,Bold Type,0,Social Science,"Race, Racism, American history, Ideology, History of ideas",582,2016,2017,0,0,0,0,
Steppenwolf,A Novel,Herman Hesse,,Picador,1,Literature,,218,1927,,0,0,0,0,
Stoner,,John Williams,John McGahren,New York Review of Books,1,Literature,,278,1965,2003,0,0,0,0,
Storytelling With Data,A deata visualization guide for business professionals,Cole Nussbaumer Knaflic,,Wiley,0,Computing & Programming,"Visualizations, Data visualizatons, Data analytics, Statistics, Design",267,2015,,0,0,0,0,
Strength Training Anatomy,,Frederic Delavier,,Human Kinetics,0,Anatomy/Strength Training,"Strength training, Anatomy, Muscles, Weight lifting, Illustration",193,2001,2010,1,0,0,0,
Style,Ten Lessons in Clarity and Grade,Joseph M. Williams,,Longman,0,Reference/Grammar,"Writing, Style, Composition, Rhetoric",270,2003,,1,0,0,0,
Surviving Autocracy,,Masha Gessen,,Riverhead,0,Social Science/Journalism,"Autocracy, Donald Trump, Authoritarianism, Dictatorship, American Politics",270,2020,2021,0,0,0,0,
Ten Arguments for Deleting Your Social Media Accounts,,Jaron Lanier,,Picador,0,Essays,"Social media, Technology and culture",162,2018,2019,1,0,0,0,
The Adderall Diaries,A Memoir,Stephen Eilliott,,Graywolf,0,Biography/Memoir,"Murder, Drugs, BDSM, San Francisco",205,2005,,2,2,0,0,
The Alien Life of Wayne Barlow,,Wayne Barlow,,Morpheus International,0,Art,"Aliens, Dinosaurs, Hell, Fantasy art",71,1995,,2,0,0,0,
The Ambassadors,,Henry James,Colm Toibin,Modern Library,1,Literature,,518,1903,2011,0,0,0,0,
The American revolution,A History,Gordon S. Wood,,Modern Library,0,History,"American history, The American revolution",190,2002,2003,0,0,0,0,
The Arab of the Future,"A Childhood in the Middle East, 1978-1984",Riad Sattouf,Sam Taylor,Metropolitan,0,Graphic Novel/Comic/Memoir,"Humor, Arab culture, Childhood, France, Syria, Libya, Cartoons",154,2014,2015,2,2,1,0,
The Arab of the Future 2,"A Childhood in the Middle East, 1984 - 1985",Riad Sattouf,Sam Taylor,Metropolitan,0,Graphic Novel/Comic/Memoir,"Humor, Arab culture, Childhood, France, Syria, Cartoons",154,2015,2016,2,2,1,0,
The Arab of the Future 3,"A Childhood in the Middle East, 1985 1987",Riad Sattouf,Sam Taylor,Metropolitan,0,Graphic Novel/Comic/Memoir,"Humor, Arab culture, Childhood, France, Syria, Cartoons",146,2016,2018,2,2,1,0,
The Arab of the Future 4,"A Childhood in the Middle East, 1987 - 1992",Riad Sattouf,Sam Taylor,Metropolitan,0,Graphic Novel/Comic/Memoir,"Humor, Arab culture, Childhood, France, Syria, Cartoons",282,2018,2019,2,2,1,0,
The Atheist's Guide to Reality,Enjoying Life without Illusions,Alex Rosenberg,,Norton,0,Philosophy,"Atheism, Nihilism, Phsyicalism, Scientism",330,2011,,0,0,0,0,Advanced reading copy
The Backpacker's Field Manual,A comprehensive guide to mastering backcountry skills,Rick Curtis,,Three Rivers,0,Wilderness Guide,"Camping, Nature, Backpacking",440,1998,2005,0,0,0,0,From Ted's PCT collection
The Best of H. P. Lovecraft,Bloodcurdling Tales of Horro and the Macabre,H. P. Lovecraft,Robert Bloch,Del Rey,1,Horror,"Cthulhu, Eldritch, Horror, Innsmouth",375,1963,1982,1,0,1,0,
The Best Stories of Fyodor Dostoevsky,"Including ""Notes from the Underground""",Fyodor Dostoevsky,,Modern Library,1,Literature,"Russian literature, Underground man",318,2001,2005,2,0,1,0,
The Book of Evidence,,Peter Achinstein,,Oxford,0,Philosophy,"Philosophy of science, Evidence, Bayesiansim",290,2001,2003,0,0,0,0,
The Breast,,Philip Roth,,Vintage,1,Literature,"Absurdism, Humor, Kafkaesque",85,1972,1994,0,0,0,0,
The Byline Bible,Get Published in 5 Weeks,Susan Shapiro,Peter Catapano,Writer's Digest,0,Self-Help/Career Building,"Writing, Writing as a career, Writing resources, Writing practice",267,2018,,0,0,0,0,Signed by author
The Cheese and the Worms,The Cosmos of a Sixteenth-Century Miller,Carlo Ginzburg,"John Tedeschi, Anne C. Tedeschi",John Hopkins,0,History,"European History, 16th Century, Micro-history, Free thinking",180,1976,2013,2,0,0,0,
The Coast of California,,Tom Killion,,David R. Godine,0,Art,"California, Santa Cruz, Woodcuts",78,1979,1988,1,0,0,1,
The Consequences of Modernity,,Anthony Giddens,,Stanford,0,Social Science,"Modernity, Postmodernity, Sociology",186,1990,1997,1,0,0,0,
The Consolations of Philosophy,,Alain de Botton,,Vintage,0,Philosophy,"Socrates, Epicurus, Seneca, Montaigne, Schopenhauer, Nietzsche",263,2000,2001,2,0,0,0,
The Courage to Be,,Paul Tillich,Harvey Cox,Yale,0,Philosophy,"Being, Existentialism, Courage, Anxiety",187,1952,2014,2,0,0,0,
The Deepest Human Life,An Introduction to Philosophy for Everyone,Scott Samuelson,,Chicago,0,Philosophy,"Happiness, God, Morality",2016,2014,2015,1,0,0,0,"Met the author at the AAPT in Greensboro I think, maybe Saginaw"
The Deficit Myth,Modern Monetary Theory and the Birth of the People's Econom,Stephanie Kelton,,Public Affairs,0,Social Science,"MMT, Modern Monetary Theory, Debt, Monetary policy, Fiat currency",325,2020,,2,0,0,1,
The Discover of Being,,Rollo May,,Norton,0,Philosophy,"Existentialism, Therapy, Kierkegaard, Nietzsche",202,1983,2015,2,0,0,0,
The Divided Self,,R. D. Lang,,Penguin,0,Science/Social Science,"Psychology, Psychosis, The self, Existentialism, Anxiety",2018,1959,1990,0,0,0,0,
The Drunkard's Walk,How Randomness Rules Our Lives,Leonard Mlodinow,,Pantheon,0,Mathematics,"Probability, Chance, Randomness",252,2008,,0,0,0,1,
The Economy,Economics for a changing world,Samuel Bowles,"Wendy Carlin, Margaret Stevens, et al.",Oxford,0,Social Science,"Economics, Textbook",1126,2017,,0,0,0,0,
The Elegance of the Hedgehog,,Muriel Barbery,,Europa,1,Literature,"Paris, Intellectual Life",325,2006,2016,0,0,0,0,
The Elements of Eloquence,Secrets of the Perfect Turn of Phrase,Mark Forsyth,,Berkley,0,Reference/Grammar,"Writing, Style, Rhetoric",235,2013,2014,1,0,0,0,
The Empirical Stance,,Bas C. Van Frassen,,Yale,0,Philosophy,"Philosophy of science, Scientific method, Scientific realism, Empiricism",282,2002,,0,0,0,0,
The Enigma of Capital,And the Crises of Capitalism,David Harvey,,Oxford,0,Social Science,"Capitalism, Goegraphy, Marxism, Financial crisis",312,2010,2011,2,0,0,0,
The Existence of the World,An Introduction to ontology,Reinhardt Grossman,,Routledge,0,Philosophy,"Metaphysics, Plato, Platonism",139,1992,1994,2,0,0,0,
The Fantastic Worlds of Frank Frazetta,,Dian Hanson,"Dan Nadel, Zak Smith",Taschen,0,Art,"Fantasy, Comics, Art criticism",467,2022,,1,1,0,1,Number 3854/6000
The Field of Consciousness,,Aron Gurwitsch,,Duquesne University,0,Philosophy,"Phenomenology, Perception, Gestlalt, Thematic Field, Husserl",427,1964,,1,0,0,1,Poor physical condiition
The Fifth Season,,N. K. Jemisin,,Orbit,1,Fantasy,"Fantasy, Science Fiction, Hugo award, Broken Earth, Worldbuilding",468,2015,,2,0,1,0,
The Glass Cage,How Our Computers Are Changing Us,Nicholas Carr,,Norton,0,Social Science,"Computers, Technology, Technological society, Automation",276,2014,2015,0,0,0,0,
The Great Transformation,The Political and Economic Origins of Our Time,Karl Polanyi,"Joseph E. Stiglitz, Fred Block",Beacon,0,Social Science,"Economics, Market Society, Economic History, Political Economy, Society",317,1944,2001,2,0,0,0,
The Heart of Mathematics,An invitation to effective thinking,Edward B. Burger,Michael Starbird,Key,0,Mathematics,Textbook,760,2005,,0,0,0,1,
