title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
The Stone Sky,,N. K. Jemisin,,Orbit,1,Fantasy,"Fantasy, Science Fiction, Hugo award, Nebula award, Broken Earth, Worldbuilding",416,2017,,0,0,0,0,
The Story of My Life,,Giacomo Casanova,"Stephenm Sartarelli, Sophie Hawkes, Gilberto Pizzamiglio",Penguin,0,Biography/Memoir,"18th century history, European history",532,1826,2001,1,0,0,0,
The Structure of Scientific Revolutions,,Thomas S. Kuhn,Ian Hacking,Chicago,0,Philosophy,"Philosophy of science, History of science",217,1962,2012,2,0,0,0,
The Sublime Object of Ideology,,Slavoj Zizek,,Verso,0,Philosophy,"Ideology, Psychoanalysis, Lacan",272,1989,2008,1,0,0,0,
The Subtle Art of Not Giving a Fuck,A Counterintuitive Approach to Living a Good Life,Mark Manson,,Harper,0,Self-Help/Career Building,"Happiness, Suffering",204,2016,,2,0,0,1,
The Swerve,How the World Became Modern,Stephen Greenblatt,,Norton,0,History,"History, Renaissance, Epicurus, Lucretius, European history",356,2011,2012,2,0,0,0,
The Technology Trap,"Capital, Labor, and Power in the Age of Automation",Carl Benedikt Frey,,Princeton,0,History/Economics,"Political economy, Economic history, Industrial Revolution, Capital, Labor, Automation, Technology and labor",465,2019,,0,0,0,1,
The transit of Venus,,Shirley Hazzard,Lauren Groff,Penguin,1,Literature,,355,1980,2021,0,0,0,0,
The Trouble with Diversity,How We Learned to Love Idenity and Ignore Inequality,Walter Benn Michaels,,Picador,0,Social Science,"Inequality, Identity, Identity politics, Diversity, Social justice",258,2006,2016,1,0,0,0,
The True Believer,,Eric Hoffer,,Harper & Row,0,Social Science,"Sociology, Totalitarianism, Orwellian, Authoritarianism",160,1951,1966,0,0,0,0,
The Ultimate RPG Character Backstory Guide,"Prompts and Activities to Create Compelling Characters for Horror, Sci-Fi, X-Punk, and more",James D'Amato,,Adams Media,0,Roleplaying Games,"RPG, Role Playing Game, Guide, Storytelling, Fantasy Games",334,2022,,0,0,0,0,
The Ultimate RPG Gameplay Guide,Role-Play The Best Campaign Ever - No Matter The Game,James D'Amato,,Adams Media,0,Roleplaying Games,"RPG, Role Playing Game, Guide, Storytelling, Fantasy Games",254,2019,,0,0,0,0,
The View from Nowhere,,Thomas Nagel,,Oxford,0,Philosophy,Objectivity,244,1986,,0,0,0,0,
The War of Art,Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,,Black Irish,0,Self-Help/Career Building,"Creativity, Writer's block, Motivation, Grit, Resistance",165,2002,2017,1,0,0,0,
The War on Normal People,The Truth About America's Disapperaing Jobs and why Universal Basic Income is our Future,Andrew Yang,,Hachette,0,Social Science,"UBI, Universal basic income, automation, labor, class",284,2018,2019,2,0,0,0,
The World of Yesterday,,Stefan Zweig,Anthea Bell,University of Nebraska,0,Biography/Memoir,"Vienna, Fin-de-Siecle, Austrian culture, ",472,1942,2013,0,0,0,0,
The Writer's Practice,Building Confidence in your Nonfiction Writing,John Warner,,Penguin,0,Self-Help/Career Building,"Writing, Writing as a career, Nonfiction, Writing practice",242,2019,,0,0,0,0,
Theory and Reality,An introduction to the philosophy of science,Peter Godfrey-Smith,,Chicago,0,Philosophy,"Philosophy of science, Vienna circle, Logical positivism, Inductive logic, Popper, Falisifiability, Confirmation, Empiricism, Kuhn, Naturalism, Scientific realism, Explanation, Bayesianism",272,2003,,2,0,0,0,
Things Fall Apart,,Chinua Achebe,,Anchor,1,Literature,,209,1959,1994,0,0,0,0,
Think,A compelling introduction to philosophy,Simon Blackburn,,Oxford,0,Philosophy,Textbook,312,1999,,2,0,0,1,
Think Python,How to Think Like a Computer Scientist,Allen B. Downey,,O'Reilly,0,Computing & Programming,"Python, Programming",268,2012,2016,1,0,0,0,
Tiny Homes Simple Shelter,Scaling Back in the 21st Century,Lloyd Kahn,,Shelter,0,Architecture,"Cabins, Homes, Houses, Hippies, Architecture",215,2012,,2,1,0,0,
Touching the Rock,An experience of blindness,John M. Hull,Oliver Sacks,SPCK,0,Biography/Memoir,Blindness,192,1990,2016,1,0,0,0,
Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,Bertrand Russell,Dover,0,Philosophy,"Truth tables, Language, Analytic philosophy",125,1922,1999,2,0,0,0,
Tragic Sense of Life,,Miguel de Unamuno,J.E. Crawford Flitch,SophiaOmni,0,Philosophy,"Existentialism, Personal Identity, Don Quixote, Religion, Pessimism",248,1912,2014,1,0,0,0,
Triumphs of Experience,The Men of the Harvard Grant Study,George E. Vaillant,,Belknap Harvard,0,Social Science,"Grant study, Harvard, Defense mechanisms, happiness, ageing",457,2012,,2,1,0,1,
